sex,age,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
F,15,father,1,2,0,no,no,no,no,no,yes,no,yes,2,3,4,2,4,1,6,11
M,16,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,16,8
M,15,mother,4,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,11
M,18,mother,1,1,2,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,0
M,16,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,10
F,15,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,13
M,19,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,6,11
F,17,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,13
M,15,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,0,8
M,17,mother,1,1,3,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,14,10
F,18,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,11
M,16,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,4,11
M,16,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,5,5,4,4,5,0,1
M,16,mother,2,1,2,no,no,no,no,no,yes,yes,no,4,4,5,3,5,5,0,10
M,17,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,3,3,2,2,2,5,8,9
M,17,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,4,8
M,15,mother,2,1,0,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,2,10
M,16,father,1,1,1,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2,8
M,17,mother,4,2,0,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,8
M,17,mother,2,1,3,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,10,8
M,16,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,0,11
F,16,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,1,3,0,18
F,16,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,1,5,1,1,4,0,13
F,16,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,2,1,1,3,0,17
M,16,father,3,1,1,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,4,10
M,16,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,3,0,18
M,17,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,3,5,0,10
F,16,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0,13
F,16,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,1,4,0,15
M,17,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,0,11
F,16,mother,2,2,0,no,no,no,yes,no,yes,yes,no,3,4,4,1,4,5,0,14
M,17,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,4,10
M,16,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,3,8,11
M,17,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,2,4,13
M,16,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,4,11
M,16,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,0,13
F,17,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5,4,2,2,3,5,0,17
F,17,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,2,3,1,32,14
F,16,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,1,8,16
M,17,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,6,14
M,16,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,2,3,0,11
M,16,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,16
F,17,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,3,10,14
M,17,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,1,5,3,6,10
F,16,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,2,6,13
F,17,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,0,12
M,17,other,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,4,4,5,5,16,12
M,16,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,0,10
M,16,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,12
F,17,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,8,16
M,17,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,2,5,4,14
M,16,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,4,3,5,3,16,12
F,17,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,4,2,4,2,3,2,30,16
F,16,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,5,2,1,2,3,0,11
F,16,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,5,2,2,15
F,16,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,4,3,1,3,4,4,12
F,17,mother,1,2,0,no,yes,no,no,no,yes,no,no,4,4,4,1,3,1,0,15
F,17,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,2,3,21,13
F,16,mother,2,4,0,no,yes,no,yes,no,yes,yes,no,5,3,5,1,1,5,6,13
F,17,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,4,4,3,3,4,5,14,8
F,16,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,2,2,4,2,12
F,16,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,4,15
F,16,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,4,5,2,13
F,17,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,0,12
F,19,other,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,3,4,12
M,17,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,4,5,3,15,12
F,16,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,1,1,4,0,13
M,18,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,2,4,5,10,11
F,17,mother,1,1,0,no,yes,no,no,yes,yes,no,no,5,2,1,1,2,3,6,11
F,17,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,3,1,2,15
F,17,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,4,5,2,4,1,16,10
M,18,father,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,2,4,4,10,10
F,17,father,2,1,0,no,yes,no,no,yes,yes,no,no,3,3,3,1,4,3,4,13
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,0,13
F,17,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,5,0,11
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,4,3,4,1,1,5,12,12
F,16,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2,3,1,1,1,3,0,14
M,18,mother,2,2,3,no,yes,yes,no,yes,yes,yes,no,3,3,3,5,5,4,9,10
F,16,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,4,16
F,18,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,4,8
F,17,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,3,3,2,17
M,17,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,3,3,0,11
M,18,mother,4,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,2,4,5,3,2,11
F,17,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,0,16
F,17,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,0,12
M,17,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,2,1,1,1,0,13
M,17,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,0,13
M,16,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,4,1,0,14
M,16,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,4,2,1,1,5,2,9
M,16,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,2,0,12
M,17,father,1,2,0,no,no,no,yes,no,yes,yes,yes,4,4,2,5,5,4,0,16
F,16,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,2,1,1,5,4,10
F,16,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,5,0,13
F,18,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,18,10
F,18,mother,1,2,1,no,yes,no,no,no,yes,yes,yes,5,3,1,1,1,5,16,10
F,18,mother,2,1,1,no,no,no,no,yes,no,yes,no,4,1,1,1,1,3,14,7
M,18,other,1,1,1,no,yes,no,yes,no,no,yes,yes,4,4,3,2,2,1,26,8
M,17,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,4,2,1,1,2,5,6,9
F,17,father,1,2,0,no,no,no,yes,yes,yes,no,no,5,4,2,1,1,3,4,15
F,17,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,2,4,10,10
F,16,mother,1,1,0,no,no,no,no,yes,no,yes,no,5,3,5,1,2,5,4,11
F,17,mother,3,2,0,no,no,no,yes,yes,yes,no,no,2,1,1,1,1,3,2,13
F,17,other,4,1,1,no,yes,no,no,yes,yes,yes,no,5,5,4,1,1,5,14,8
M,18,father,1,2,0,no,no,no,no,yes,no,yes,no,5,5,4,3,5,2,16,8
F,17,mother,1,1,1,no,yes,no,no,no,no,yes,no,3,1,2,1,1,1,8,10
F,17,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,3,5,4,15
F,17,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,2,1,1,4,4,14
M,17,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,1,4,5,8,15
M,17,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,2,3,4,0,12
M,16,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,4,5,1,1,3,7,15
M,16,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,3,2,1,2,5,4,15
F,17,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,1,1,4,5,2,12
M,17,father,2,3,0,no,no,no,no,no,yes,yes,yes,4,3,3,1,1,1,2,15
F,17,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,3,5,10,11
F,17,mother,1,2,0,yes,no,no,no,no,yes,no,yes,4,3,2,1,1,4,10,10
F,18,other,2,3,0,no,yes,no,no,no,yes,yes,yes,4,4,4,1,1,3,10,11
M,16,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,7,16
F,17,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,5,4,11
M,17,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,1,2,2,13
M,22,mother,1,1,3,no,no,no,no,no,no,yes,yes,5,4,5,5,5,1,12,5
M,18,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,5,8,10
M,16,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,3,2,2,4,5,0,11
